producer	wine	price	country	region	appellation	color	variety
Jean Dauvissat	2023 Pere et Fils Chablis 1er Cru "Fourchame"	57.99	France	Burgundy	Pere et Fils Chablis 1er Cru	White	Chardonnay
Jean Dauvissat	2023 Pere et Fils Chablis 1er Cru "Montmains"	53.99	France	Burgundy	Pere et Fils Chablis 1er Cru	White	Chardonnay
Jean Dauvissat	2023 Pere et Fils Chablis 1er Cru "Vaillons"	53.99	France	Burgundy	Pere et Fils Chablis 1er Cru	White	Chardonnay
Jean Dauvissat Père & Fils	2023 Dauvissat Pere & Fils Chablis "Mont-Main Sourdelle"	37.99	France	Burgundy	Fils Chablis	White	Chardonnay
Laurent & Karen Boussey	2023 Meursault 1er Cru "Les Caillerets"	91.99	France	Burgundy	Meursault 1er Cru	White	Chardonnay
Laurent Tribut	2023 Chablis 1er Cru "Beauroy"	68.99	France	Burgundy	1er Cru	White	Chardonnay
Laurent Tribut	2023 Chablis 1er Cru "Côte de Léchet"	68.99	France	Burgundy	1er Cru	White	Chardonnay
Pierre Brisset	2023 Chassagne-Montrachet 1er Cru "Abbaye de Morgeot"	134.99	France	Burgundy	Chassagne-Montrachet 1er Cru	White	Chardonnay
Remi Poisot	2023 Corton Charlemagne Grand Cru	176.99	France	Burgundy	Grand Cru	White	Chardonnay
Sébastien Dampt	2024 Chablis 1er Cru "Vaillons"	41.99	France	Burgundy	1er Cru	White	Chardonnay
Sébastien Dampt	2024 Chablis 1er Cru Les Beugnons	38.99	France	Burgundy	1er Cru Les Beugnons	White	Chardonnay
Pierre Brisset	2023 St. Aubin 1er Cru "Sur Roche Du Gamay"	84.99	France	Burgundy	1er Cru	Red	Gamay
Thorle Holle	2023 Pinot Noir "GG"	96.99	Germany	Rheinhessen		Red	Pinot Noir
Thorle Holle	2023 Riesling "GG"	57.99	Germany	Rheinhessen		White	Riesling
